"","x"
"1","Gammarus daiberi"
"2","Hyperacanthomysis longirostris"
"3","Mysida_UnID"
"4","Americorophium spinicorne"
"5","Americophium_UnID"
"6","Crangonyx_UnID"
"7","Americorophium stimpsoni"
"8","Amphipoda_UnID"
"9","Neomysis kadiakensis"
"10","Hyalella_UnID"
"11","Ampithoe valida"
"12","Sinocorophium alienense"
"13","Corophiidae_UnID"
"14","Grandidierella japonica"
"15","Pleustidae_UnID"
"16","Neomysis mercedis"
"17","Ampelisca abdita"
"18","Orientomysis aspera"
"19","Alienacanthomysis macropsis"
"20","Monocorophium acherusicum"
"21","Isopoda_UnID"
"22","Cumacea_UnID"
"23","Decapoda_UnID"
"24","Exopalaemon modestus"
"25","Ampithoe_UnID"
"26","Deltamysis holmquistae"
"27","Tanaidacea_UnID"
"28","Eogammarus_UnID"
"29","Orientomysis hwanhaiensis"
"30","Oedicerotidae_UnID"
"31","Grandifoxus grandis"
"32","Dexaminidae_UnID"
